question,ground_truth,prediction,score,reasoning
What’s wrong with cramming 12 hours of listening right before the test?,Inconsistent marathon sessions are far less effective than consistent daily practice. :contentReference[oaicite:28]{index=28}:contentReference[oaicite:29]{index=29},"Cramming 12 hours of listening right before the test is not going to help improve your IELTS score. It is mentioned that consistently listening for shorter periods every day is more powerful and impactful than cramming before the test. 

Relevance score: 5",CORRECT,
What should you do if you’re unfamiliar with a certain accent?,"Find podcasts or videos featuring that accent—e.g., Canadian news for Canadian accent. :contentReference[oaicite:30]{index=30}:contentReference[oaicite:31]{index=31}","Listen to a podcast with Scottish people talking, or if you are unfamiliar with the Canadian accent, go and listen to Canadian news or a Canadian YouTube channel or a Canadian talking on a TED Talk. Just keep it simple. Just do it and it will help you. Listen to a range of different topics.

Relevance score: 5",CORRECT,
Which resources does the speaker suggest for daily listening?,"Podcasts, radio, YouTube, TED Talks, or real conversations if you’re in an English-speaking country. :contentReference[oaicite:32]{index=32}:contentReference[oaicite:33]{index=33}","The speaker suggests using YouTube, podcasts, and a range of different accents for daily listening. 

Relevance score: 5",CORRECT,
"Besides vocabulary, what else can active listening improve?","Grammar, pronunciation, and accent awareness by focusing on specific language features. :contentReference[oaicite:34]{index=34}:contentReference[oaicite:35]{index=35}","This information is not mentioned in this part of the transcript. 

Relevance score: 1",INCORRECT,
How can your phone help you improve listening habits?,"Many apps and iPhone updates track your listening time, helping you build daily consistency. :contentReference[oaicite:36]{index=36}:contentReference[oaicite:37]{index=37}","Your phone can help you improve listening habits by allowing you to listen to a range of different accents and topics through podcasts, YouTube, and other platforms. It enables you to listen to English every day, whether on the way to work, during lunchtime, or any other time. 

Relevance score: 5",CORRECT,
What is the speaker’s view on using books for listening practice?,Books won’t help your listening skills; you must use actual audio content. :contentReference[oaicite:38]{index=38}:contentReference[oaicite:39]{index=39},"The speaker believes that using a book for listening practice is not helpful. 

Relevance score: 5",CORRECT,
Why is using synonyms important in IELTS?,This information is not mentioned in the transcript of the video.,"This information is not mentioned in this part of the transcript. 

Relevance score: 1",CORRECT,
What is a synonym for the word 'say' mentioned in the video?,This information is not mentioned in the transcript of the video.,"This information is not mentioned in this part of the transcript. 

Relevance score: 1",CORRECT,
How can you paraphrase 'give' in a more polite way?,This information is not mentioned in the transcript of the video.,"This information is not mentioned in this part of the transcript. 

Relevance score: 1",CORRECT,
What advice does the video give about using the word 'for example'?,This information is not mentioned in the transcript of the video.,"This information is not mentioned in this part of the transcript. 

Relevance score: 1",CORRECT,
